Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
Skoda Enyaq iV,3072.0,2023,FY,1006.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Citroen C3,3014.0,2023,FY,1012.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Toyota Aygo X,2799.0,2023,FY,1042.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Opel Corsa,2755.0,2023,FY,1259.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Nissan Qashqai,2614.0,2023,FY,1035.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Volvo XC40,2571.0,2023,FY,1331.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Audi Q2,2548.0,2023,FY,1071.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Volkswagen ID.4,2541.0,2023,FY,1005.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Toyota Yaris,2503.0,2023,FY,1057.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Cupra Formentor,2404.0,2023,FY,1062.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi Q4 e-tron,2350.0,2023,FY,1003.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Volkswagen Polo,2327.0,2023,FY,1140.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen T-Roc,2312.0,2023,FY,1080.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Kia Ceed,2246.0,2023,FY,1243.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Toyota Yaris Cross,2230.0,2023,FY,1020.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Hyundai I10,2210.0,2023,FY,1237.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Polestar 2,2022.0,2023,FY,1097.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Mercedes-Benz C-Klasse,1960.0,2023,FY,1098.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Peugeot 2008,1904.0,2023,FY,1030.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
BMW i4,1741.0,2023,FY,1045.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Audi Q5,1677.0,2023,FY,1137.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Hyundai I20,1665.0,2023,FY,1238.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Audi Q3,1647.0,2023,FY,1099.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Skoda Kamiq,1550.0,2023,FY,1112.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Renault Megane,1523.0,2023,FY,1369.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Skoda Octavia,1509.0,2023,FY,1157.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Toyota Corolla Cross,1492.0,2023,FY,1124.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Renault Clio,1469.0,2023,FY,1111.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Fiat 500,1439.0,2023,FY,1232.0,Fiat,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Audi A5,1368.0,2023,FY,1115.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen T-Cross,1338.0,2023,FY,1181.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Ford Mustang Mach-E,1337.0,2023,FY,1147.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Hyundai Kona,1317.0,2023,FY,1043.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Cupra Born,1268.0,2023,FY,1007.0,Cupra,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Suzuki Swift,1268.0,2023,FY,1034.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Volkswagen ID.Buzz,1205.0,2023,FY,1376.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Audi A4,1198.0,2023,FY,1356.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Kia Picanto,1198.0,2023,FY,1245.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mercedes-Benz EQA,1178.0,2023,FY,1026.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.3,1151.0,2023,FY,1011.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Audi A6,1120.0,2023,FY,1159.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mazda 2,1118.0,2023,FY,1153.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
BMW 3'er,1101.0,2023,FY,1051.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Skoda Fabia,1066.0,2023,FY,1211.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Cupra Leon,1056.0,2023,FY,1100.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
