Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
Skoda Elroq,768,2026,M08,1001.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Tesla Model Y,693,2026,M08,1002.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Toyota bZ4X,674,2026,M08,1000.0,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,Personbil
Skoda Enyaq iV,497,2026,M08,1006.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.4,477,2026,M08,1005.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Toyota Urban Cruiser,465,2026,M08,1004.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Citroen C3,462,2026,M08,1012.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Renault R5,351,2026,M08,1008.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Xpeng G6,342,2026,M08,1015.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
BMW iX3,334,2026,M08,1224.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Toyota C-HR+,323,2026,M08,,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,SUV/Crossover
Citroen C5 Aircross,312,2026,M08,1032.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Mercedes-Benz GLC,307,2026,M08,1076.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
BMW iX1,282,2026,M08,1009.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Mercedes-Benz GLB,275,2026,M08,1088.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Tesla Model 3,274,2026,M08,1179.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Volkswagen ID. Polo,266,2026,M08,,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID. Buzz,263,2026,M08,1010.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz CLA,256,2026,M08,1022.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Zeekr 7GT,241,2026,M08,,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Renault Scenic,240,2026,M08,1021.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Audi Q4 e-tron,231,2026,M08,1003.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Cupra Raval,229,2026,M08,,Cupra,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.3 Neo,222,2026,M08,,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volvo EX30,221,2026,M08,1056.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
BMW 5'er,183,2026,M08,1063.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Peugeot 208,169,2026,M08,1024.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Renault Twingo,156,2026,M08,,Renault,Renault Group,Frankrig,El,Nul-emission,Personbil
Volkswagen ID.7,150,2026,M08,1017.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Kia EV2,149,2026,M08,,Kia,Hyundai Motor Group,Sydkorea,El,Nul-emission,SUV/Crossover
Kia EV3,146,2026,M08,1033.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Volkswagen T-Roc,146,2026,M08,1080.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Nissan Qashqai,144,2026,M08,1035.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Zeekr 7X,144,2026,M08,1028.0,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Ford Explorer,141,2026,M08,1023.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Volvo EX40,140,2026,M08,1018.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
BMW 3'er,133,2026,M08,1051.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Cupra Born,133,2026,M08,1007.0,Cupra,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Cupra Leon,128,2026,M08,1100.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Suzuki Vitara,126,2026,M08,1029.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Citroen C3 Aircross,122,2026,M08,1014.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Cupra Tavascan,120,2026,M08,1065.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz Sprinter,120,2026,M08,1134.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
MG S6 EV,116,2026,M08,1101.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
MG 4,113,2026,M08,1037.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Kia EV5,108,2026,M08,1164.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Renault R4,105,2026,M08,1016.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Cupra Formentor,104,2026,M08,1062.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi A6 e-tron,103,2026,M08,1038.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Xpeng P7+,103,2026,M08,,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Peugeot 2008,102,2026,M08,1030.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Mazda 6e,98,2026,M08,1019.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Hyundai Kona,97,2026,M08,1043.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Kia PV5,92,2026,M08,1066.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Leapmotor B10,92,2026,M08,1031.0,Leapmotor,Leapmotor,Kina,El,Nul-emission,Personbil
Nissan Micra,89,2026,M08,1055.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
MG S5,88,2026,M08,1046.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Suzuki Swift,84,2026,M08,1034.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Ford Puma,83,2026,M08,1054.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Mercedes-Benz GLA,82,2026,M08,1090.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Audi Q6 e-tron,80,2026,M08,1160.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Toyota Yaris Cross,76,2026,M08,1020.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Xpeng G9,76,2026,M08,1068.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Peugeot 5008,72,2026,M08,1039.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
BMW i5,70,2026,M08,1049.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Polestar 4,70,2026,M08,1048.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Hyundai Ioniq 5,67,2026,M08,1050.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Jaecoo J5,66,2026,M08,1116.0,Jaecoo,Chery Group,Kina,Benzin,Fossil,Personbil
MG ZS,66,2026,M08,1040.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Nissan Leaf,60,2026,M08,1318.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
BMW X1,59,2026,M08,1013.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Deepal S05,57,2026,M08,,Deepal,Changan Automobile,Kina,El,Nul-emission,SUV/Crossover
Opel Frontera,57,2026,M08,1077.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Hyundai Inster,54,2026,M08,1061.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Audi Q3,53,2026,M08,1099.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Skoda Karoq,52,2026,M08,1094.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BMW i4,50,2026,M08,1045.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Audi Q5,49,2026,M08,1137.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Honda e:Ny1,49,2026,M08,1086.0,Honda,Honda Motor Co.,Japan,El,Nul-emission,Personbil
BMW 4'er,48,2026,M08,1185.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Mazda CX-6e,48,2026,M08,,Mazda,Mazda Motor Corporation,Japan,El,Nul-emission,SUV/Crossover
Nissan Juke,47,2026,M08,1103.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Subaru E-Outback,47,2026,M08,,Subaru,Subaru Corporation,Japan,El,Nul-emission,SUV/Crossover
Mercedes-Benz EQA,45,2026,M08,1026.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
BMW X3,44,2026,M08,1141.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
BYD Dolphin Surf,40,2026,M08,1095.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
BYD Sealion 7,40,2026,M08,1096.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Hyundai Ioniq 6,39,2026,M08,1133.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Opel Grandland,39,2026,M08,1072.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Audi A3,37,2026,M08,1064.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Suzuki SX4,37,2026,M08,1131.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Toyota Yaris,37,2026,M08,1057.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Kia EV9,36,2026,M08,1058.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
BYD Tang,35,2026,M08,1126.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Mini 3-dørs,35,2026,M08,1083.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
BYD Seal U,33,2026,M08,1104.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Ford Capri,33,2026,M08,1052.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Volkswagen Passat,33,2026,M08,1125.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Ford Tourneo Custom,32,2026,M08,1082.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Kia EV6,31,2026,M08,1069.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
BMW iX2,30,2026,M08,1087.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Porsche Macan,27,2026,M08,1119.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BYD Atto 3 Evo,26,2026,M08,,BYD,BYD Auto,Kina,El,Nul-emission,SUV/Crossover
Mercedes-Benz C-Klasse,26,2026,M08,1098.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Cupra Terramar,25,2026,M08,1044.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Ford Transit,25,2026,M08,1091.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Mercedes-Benz A-Klasse,25,2026,M08,1123.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Subaru Solterra,24,2026,M08,1113.0,Subaru,Subaru Corporation,Japan,Benzin,Fossil,Personbil
BYD Atto 2,21,2026,M08,1106.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
BYD Dolphin,21,2026,M08,1187.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Mini Aceman,21,2026,M08,1079.0,Mini,BMW Group,Tyskland,El,Nul-emission,Personbil
Lexus RZ,20,2026,M08,1075.0,Lexus,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Peugeot 3008,20,2026,M08,1036.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Porsche Cayenne,19,2026,M08,1208.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Toyota Corolla Cross,19,2026,M08,1124.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Volvo EX90,19,2026,M08,1081.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Kia EV4,18,2026,M08,1059.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Polestar 2,18,2026,M08,1097.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Renault Megane E-Tech,18,2026,M08,1041.0,Renault,Renault Group,Frankrig,El,Nul-emission,Personbil
Subaru Uncharted,17,2026,M08,,Subaru,Subaru Corporation,Japan,El,Nul-emission,SUV/Crossover
Zeekr X,17,2026,M08,1114.0,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Toyota Aygo X,16,2026,M08,1042.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Kia Niro,15,2026,M08,1244.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mini Countryman,15,2026,M08,1102.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Volvo EC40,15,2026,M08,1093.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
BMW iX,14,2026,M08,1089.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Nissan Ariya,14,2026,M08,1070.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
Skoda Kamiq,14,2026,M08,1112.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BYD Seal,13,2026,M08,1107.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Hyundai Ioniq 9,13,2026,M08,1118.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Mazda 2,13,2026,M08,1153.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Mercedes-Benz EQE,13,2026,M08,1074.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.5,13,2026,M08,1053.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
BMW 2'er,12,2026,M08,1223.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Leapmotor B05,12,2026,M08,,Leapmotor,Leapmotor,Kina,El,Nul-emission,Personbil
Peugeot 308,12,2026,M08,1206.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Renault Clio,12,2026,M08,1111.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Volvo ES90,12,2026,M08,1105.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Porsche 911,10,2026,M08,1264.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Skoda Kodiaq,10,2026,M08,1047.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BMW 1'er,9,2026,M08,1067.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen ID.3,9,2026,M08,1011.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Omoda 5,8,2026,M08,1129.0,Omoda,Chery Group,Kina,Benzin,Fossil,Personbil
Skoda Octavia,8,2026,M08,1157.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Skoda Superb,8,2026,M08,1139.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
KGM Torres EVX,7,2026,M08,1108.0,KGM,KG Mobility (tidl. SsangYong),Sydkorea,El,Nul-emission,SUV/Crossover
Mercedes-Benz E-Klasse,7,2026,M08,1128.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Fisker Ocean,6,2026,M08,1233.0,Fisker,Fisker Inc.,USA,El,Nul-emission,Personbil
Mazda 3,6,2026,M08,1154.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Skyworth K,6,2026,M08,1121.0,Skyworth,Skyworth,Ukendt,El,Nul-emission,Personbil
Toyota Proace Verso,6,2026,M08,1135.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Ford Mustang Mach-E,5,2026,M08,1147.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
JAC E30X,5,2026,M08,1195.0,JAC,JAC Motors,Kina,Benzin,Fossil,Personbil
Mazda CX-30,5,2026,M08,1084.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Mazda CX-5,5,2026,M08,1311.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Alpine A290,4,2026,M08,,Alpine,Renault Group,Frankrig,El,Nul-emission,Personbil
Fiat Grande Panda,4,2026,M08,1122.0,Fiat,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Honda HR-V,4,2026,M08,1149.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
Mercedes-Benz Vito,4,2026,M08,1156.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Mercedes-Benz Vito Tourer,4,2026,M08,1092.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Navor E5,4,2026,M08,1078.0,Navor,DFSK Motor,Kina,Benzin,Fossil,Personbil
Skoda Fabia,4,2026,M08,1211.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Alfa Romeo Junior,3,2026,M08,1221.0,Alfa Romeo,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Audi e-tron GT,3,2026,M08,1284.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Honda ZR-V,3,2026,M08,1193.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
Hongqi EHS7,3,2026,M08,1138.0,Hongqi,FAW (Hongqi),Kina,El,Nul-emission,Personbil
Hyundai Bayon,3,2026,M08,1151.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
MAN TGE,3,2026,M08,1197.0,MAN,TRATON (Volkswagen Group),Tyskland,Benzin,Fossil,Varebil/MPV
Maxus Euniq5,3,2026,M08,1198.0,Maxus,SAIC Motor (Maxus),Kina,Benzin,Fossil,SUV/Crossover
Mercedes-Benz GLE,3,2026,M08,1144.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz V-Klasse,3,2026,M08,1171.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
MG Cyberster,3,2026,M08,1173.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
MG HS,3,2026,M08,1109.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Nio Firefly,3,2026,M08,1203.0,Nio,NIO,Kina,El,Nul-emission,Personbil
Polestar 3,3,2026,M08,1263.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Today Sunshine,3,2026,M08,1158.0,Today Sunshine,Today Sunshine,Ukendt,Benzin,Fossil,Personbil
Toyota Proace,3,2026,M08,1215.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Volkswagen Multivan,3,2026,M08,1274.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Exlantix ES,2,2026,M08,1142.0,Exlantix,Chery Group,Kina,El,Nul-emission,Personbil
Hisun HS5DUTV-2,2,2026,M08,1148.0,Hisun,"Chongqing Huansong Industrial (Group) Co., Ltd.",Kina,Benzin,Fossil,ATV/UTV/Andet
Honda Civic,2,2026,M08,1163.0,Honda,Honda Motor Co.,Japan,Hybrid,Lav-emission,Personbil
Honda CR-V,2,2026,M08,1127.0,Honda,Honda Motor Co.,Japan,Hybrid,Lav-emission,Personbil
Honda Jazz,2,2026,M08,1150.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
Kandi Inovator,2,2026,M08,,Kandi,Chery Group,Kina,Benzin,Fossil,Personbil
Lexus ES,2,2026,M08,1375.0,Lexus,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Mercedes-Benz CLE,2,2026,M08,1257.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz EQV,2,2026,M08,1155.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz G-Klasse,2,2026,M08,1170.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz S-Klasse,2,2026,M08,1201.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Nilsson Hearse,2,2026,M08,1202.0,Nilsson Hearse,Nilsson Hearse,Sverige,Benzin,Fossil,Varebil/MPV
Renault Master,2,2026,M08,1120.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Varebil/MPV
Seat Arona,2,2026,M08,1177.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Skoda Epiq,2,2026,M08,,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Volkswagen Caddy,2,2026,M08,1216.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Caravelle,2,2026,M08,1217.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Golf,2,2026,M08,1219.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Polo,2,2026,M08,1140.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Aion UT,1,2026,M08,,Aion,GAC Group,Kina,El,Nul-emission,Personbil
Alpine A390,1,2026,M08,,Alpine,Renault Group,Frankrig,El,Nul-emission,SUV/Crossover
Audi A6,1,2026,M08,1159.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Bentley Flying Spur,1,2026,M08,1184.0,Bentley,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
BMW i7,1,2026,M08,1146.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
BMW i7,1,2026,M08,,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Can-Am Outlander EV,1,2026,M08,,Can-Am,Bombardier Recreational Products,Canada,El,Nul-emission,ATV/UTV/Andet
Can-Am Outlander Max Electric,1,2026,M08,,Can-Am,Bombardier Recreational Products,Canada,El,Nul-emission,ATV/UTV/Andet
Can-Am Spyder RT,1,2026,M08,,Can-Am,Bombardier Recreational Products,Canada,Benzin,Fossil,ATV/UTV/Andet
CFMOTO CForce 1000 Touring,1,2026,M08,1423.0,CFMOTO,CFMOTO,Kina,Benzin,Fossil,ATV/UTV/Andet
Citroen Berlingo,1,2026,M08,1117.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Dacia Duster,1,2026,M08,1229.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
Dacia Sandero,1,2026,M08,1231.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
Ferrari 296,1,2026,M08,1421.0,Ferrari,Ferrari,Italien,Benzin,Fossil,Personbil
Ferrari Purosangue,1,2026,M08,1190.0,Ferrari,Ferrari,Italien,Benzin,Fossil,Personbil
Ford Kuga,1,2026,M08,1060.0,Ford,Ford Motor Company,USA,Hybrid,Lav-emission,Personbil
Garia Monaco OFF-X,1,2026,M08,1285.0,Garia,Garia,Danmark,Benzin,Fossil,Personbil
Land Rover Range Rover Sport,1,2026,M08,1196.0,Land Rover,Jaguar Land Rover (Tata Motors),Indien,Benzin,Fossil,SUV/Crossover
Lvtong S2.DCH,1,2026,M08,,Lvtong,Guangdong Lvtong New Energy Electric Vehicle Technology,Kina,El,Nul-emission,ATV/UTV/Andet
Maxus Euniq6,1,2026,M08,1167.0,Maxus,SAIC Motor (Maxus),Kina,Benzin,Fossil,SUV/Crossover
Mazda CX-60,1,2026,M08,1255.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Mazda CX-80,1,2026,M08,1168.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Mazda MX-5,1,2026,M08,1346.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Mercedes-Benz EQB,1,2026,M08,1027.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz EQE SUV,1,2026,M08,1110.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,SUV/Crossover
Opel Vivaro,1,2026,M08,1416.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Porsche Taycan,1,2026,M08,1175.0,Porsche,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Renault Symbioz,1,2026,M08,1085.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Renault Trafic,1,2026,M08,1176.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Varebil/MPV
Skoda Scala,1,2026,M08,1130.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Crafter,1,2026,M08,1218.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Tiguan,1,2026,M08,1145.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Volkswagen Transporter,1,2026,M08,1351.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Yunlong JJ2000DBP,1,2026,M08,1277.0,Yunlong,MG,Kina,Benzin,Fossil,Personbil
Yunlong JJ5000BP-H06,1,2026,M08,,Yunlong,Shandong Yunlong Eco Technologies,Kina,El,Nul-emission,ATV/UTV/Andet
Toyota bZ4X,613,2026,M07,1000.0,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,Personbil
Skoda Elroq,584,2026,M07,1001.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Tesla Model Y,495,2026,M07,1002.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Volkswagen ID.4,477,2026,M07,1005.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Xpeng G6,470,2026,M07,1015.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Volkswagen ID. Buzz,438,2026,M07,1010.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
